X12..Women.who.are.literate....,X51..Children.age.12.23.months.who.have.received.measles.vaccine....,X52..Children.age.12.23.months.who.have.received.3.doses.of.Hepatitis.B.vaccine....,X53..Children.age.9.59.months.who.received.a.vitamin.A.dose.in.last.6.months....,X67..Total.children.age.6.23.months.receiving.an.adequate.diet9.10....
High 3,High 8,High 9,High 10,High 11
High 3,High 8,High 9,High 10,Medium 11
Low 3,Medium 8,Low 9,Medium 10,Low 11
Low 3,Low 8,Low 9,Medium 10,Medium 11
Low 3,Low 8,Low 9,High 10,Low 11
High 3,Medium 8,Low 9,Medium 10,Low 11
Medium 3,Low 8,Low 9,Medium 10,Low 11
Medium 3,Medium 8,Low 9,Medium 10,Low 11
High 3,Low 8,Low 9,Medium 10,Low 11
Medium 3,Low 8,Low 9,High 10,Low 11
High 3,High 8,Low 9,High 10,Medium 11
Medium 3,Medium 8,Medium 9,High 10,High 11
High 3,High 8,Low 9,High 10,Low 11
High 3,Low 8,Medium 9,High 10,Low 11
High 3,Medium 8,Low 9,High 10,Medium 11
Medium 3,Low 8,Low 9,High 10,Low 11
High 3,High 8,Low 9,High 10,Low 11
Medium 3,Low 8,Low 9,High 10,Low 11
Medium 3,Low 8,Low 9,Medium 10,Low 11
Low 3,Low 8,Low 9,High 10,Medium 11
Medium 3,High 8,Low 9,High 10,Medium 11
Medium 3,Medium 8,Low 9,High 10,Low 11
Medium 3,Medium 8,Low 9,High 10,High 11
Low 3,Low 8,Low 9,High 10,Low 11
High 3,High 8,Medium 9,High 10,Low 11
High 3,Medium 8,Low 9,High 10,Medium 11
High 3,Low 8,Low 9,High 10,Low 11
Medium 3,High 8,High 9,High 10,Medium 11
Medium 3,Medium 8,Medium 9,Low 10,Medium 11
High 3,Medium 8,High 9,Medium 10,Medium 11
High 3,High 8,Low 9,Low 10,Medium 11
High 3,High 8,Medium 9,Medium 10,Low 11
High 3,High 8,High 9,Medium 10,High 11
High 3,Low 8,Medium 9,High 10,High 11
High 3,Low 8,High 9,High 10,High 11
High 3,High 8,High 9,Medium 10,Medium 11
High 3,High 8,Medium 9,Medium 10,Medium 11
High 3,High 8,High 9,Low 10,High 11
High 3,High 8,High 9,Medium 10,Medium 11
High 3,High 8,High 9,High 10,Medium 11
High 3,High 8,High 9,High 10,High 11
High 3,High 8,High 9,Medium 10,High 11
High 3,High 8,High 9,High 10,High 11
Medium 3,High 8,High 9,High 10,Medium 11
High 3,High 8,High 9,High 10,Medium 11
High 3,Medium 8,Medium 9,High 10,Low 11
High 3,High 8,Low 9,High 10,Low 11
High 3,High 8,High 9,High 10,Medium 11
Medium 3,High 8,High 9,Medium 10,Medium 11
Medium 3,Medium 8,High 9,Medium 10,Low 11
Medium 3,Medium 8,Medium 9,High 10,Low 11
High 3,Medium 8,Low 9,Medium 10,Low 11
High 3,Medium 8,Low 9,Medium 10,Low 11
High 3,Low 8,Low 9,High 10,High 11
High 3,High 8,Medium 9,High 10,High 11
High 3,Low 8,Low 9,Medium 10,Low 11
Medium 3,Low 8,Low 9,High 10,Low 11
Low 3,Low 8,Low 9,Low 10,Low 11
Medium 3,Low 8,Low 9,Medium 10,High 11
Low 3,Low 8,Low 9,Low 10,Medium 11
Low 3,Medium 8,Low 9,Low 10,Medium 11
Low 3,Low 8,Low 9,Medium 10,Medium 11
Low 3,Medium 8,Medium 9,Low 10,Medium 11
Low 3,Medium 8,Low 9,Medium 10,Low 11
Low 3,Medium 8,Medium 9,Low 10,Medium 11
Low 3,Medium 8,Medium 9,Low 10,Medium 11
Low 3,Low 8,Low 9,Low 10,Low 11
Low 3,High 8,Medium 9,Medium 10,Medium 11
Medium 3,Medium 8,Medium 9,Low 10,Medium 11
Medium 3,Medium 8,Medium 9,Low 10,Medium 11
Low 3,Medium 8,Low 9,Medium 10,Medium 11
Medium 3,Medium 8,Medium 9,Low 10,High 11
Low 3,Medium 8,Low 9,Low 10,Low 11
Low 3,Low 8,Low 9,Medium 10,Medium 11
Medium 3,High 8,Medium 9,High 10,Low 11
Medium 3,High 8,Medium 9,Low 10,Medium 11
Low 3,High 8,Medium 9,Low 10,High 11
Low 3,Low 8,Low 9,Low 10,Medium 11
Medium 3,Medium 8,Medium 9,Medium 10,Medium 11
Low 3,High 8,Medium 9,Medium 10,High 11
Medium 3,Medium 8,Low 9,Medium 10,Medium 11
Low 3,Medium 8,Low 9,Medium 10,High 11
Low 3,Low 8,Low 9,Low 10,Low 11
Low 3,High 8,Low 9,Medium 10,Low 11
Medium 3,Medium 8,High 9,High 10,High 11
Low 3,High 8,High 9,Medium 10,Medium 11
Medium 3,High 8,High 9,Medium 10,High 11
Medium 3,High 8,High 9,Medium 10,High 11
Medium 3,High 8,High 9,High 10,High 11
Medium 3,Low 8,Low 9,Medium 10,High 11
High 3,High 8,High 9,Low 10,High 11
Medium 3,High 8,High 9,High 10,High 11
Low 3,High 8,Medium 9,High 10,High 11
Medium 3,High 8,High 9,High 10,High 11
Low 3,High 8,High 9,High 10,High 11
Medium 3,High 8,High 9,Medium 10,High 11
Medium 3,High 8,High 9,Medium 10,High 11
Medium 3,High 8,Medium 9,High 10,High 11
Low 3,High 8,High 9,Medium 10,High 11
Low 3,Low 8,Low 9,Low 10,High 11
Low 3,Low 8,Low 9,High 10,High 11
Low 3,Medium 8,Low 9,High 10,High 11
Medium 3,Medium 8,High 9,Low 10,High 11
Medium 3,Medium 8,High 9,Medium 10,High 11
High 3,High 8,Medium 9,Low 10,High 11
High 3,Medium 8,Low 9,Low 10,High 11
Medium 3,Medium 8,Medium 9,High 10,Low 11
Low 3,High 8,High 9,High 10,Medium 11
Medium 3,Medium 8,Low 9,High 10,Medium 11
Low 3,Medium 8,Medium 9,High 10,Low 11
Low 3,High 8,Medium 9,High 10,Medium 11
Medium 3,Low 8,Medium 9,High 10,Low 11
Medium 3,Medium 8,Medium 9,High 10,Low 11
High 3,High 8,Medium 9,High 10,Medium 11
Medium 3,High 8,Medium 9,High 10,Low 11
Low 3,High 8,Medium 9,High 10,Low 11
Medium 3,Low 8,Low 9,High 10,High 11
Medium 3,High 8,High 9,High 10,Medium 11
High 3,Low 8,Medium 9,High 10,Low 11
High 3,High 8,Medium 9,High 10,High 11
Medium 3,Medium 8,Low 9,High 10,Medium 11
Medium 3,Medium 8,Medium 9,High 10,Low 11
High 3,Low 8,Low 9,High 10,High 11
Medium 3,High 8,Low 9,High 10,High 11
Medium 3,Medium 8,Medium 9,High 10,Low 11
High 3,High 8,Low 9,High 10,High 11
High 3,Low 8,High 9,High 10,Medium 11
Medium 3,Low 8,Low 9,High 10,Medium 11
Low 3,Medium 8,Medium 9,High 10,High 11
Low 3,Medium 8,Medium 9,High 10,Low 11
Low 3,Medium 8,Medium 9,High 10,Medium 11
Medium 3,High 8,Medium 9,High 10,Medium 11
Medium 3,Low 8,High 9,High 10,Medium 11
Medium 3,Medium 8,Medium 9,High 10,Medium 11
Medium 3,High 8,Low 9,High 10,High 11
High 3,High 8,High 9,Medium 10,High 11
High 3,High 8,High 9,Medium 10,High 11
High 3,Medium 8,Medium 9,Medium 10,High 11
High 3,Medium 8,High 9,Medium 10,High 11
High 3,Medium 8,High 9,Medium 10,High 11
High 3,High 8,High 9,High 10,High 11
High 3,High 8,High 9,High 10,Medium 11
High 3,Medium 8,High 9,High 10,High 11
High 3,High 8,High 9,High 10,High 11
High 3,High 8,High 9,High 10,High 11
High 3,High 8,High 9,High 10,High 11
High 3,High 8,High 9,High 10,High 11
Low 3,Low 8,Low 9,High 10,Low 11
Low 3,Medium 8,Low 9,High 10,High 11
Medium 3,Medium 8,Low 9,Medium 10,Low 11
High 3,Low 8,Medium 9,Medium 10,Low 11
High 3,Medium 8,Medium 9,High 10,Low 11
High 3,Medium 8,High 9,High 10,Medium 11
High 3,High 8,High 9,High 10,Low 11
High 3,Medium 8,High 9,High 10,Low 11
High 3,High 8,High 9,High 10,Low 11
High 3,Medium 8,High 9,Medium 10,Low 11
High 3,Medium 8,High 9,High 10,Medium 11
Medium 3,Medium 8,High 9,High 10,Medium 11
High 3,High 8,High 9,High 10,Low 11
High 3,High 8,Medium 9,High 10,Medium 11
Medium 3,Medium 8,Medium 9,Medium 10,Low 11
Medium 3,Medium 8,High 9,Medium 10,Medium 11
Medium 3,Medium 8,Medium 9,Medium 10,Low 11
Medium 3,High 8,High 9,High 10,Low 11
High 3,Medium 8,Medium 9,Medium 10,Low 11
High 3,Low 8,Low 9,Medium 10,Medium 11
High 3,Low 8,Low 9,High 10,High 11
High 3,Low 8,Low 9,High 10,Medium 11
High 3,High 8,High 9,Medium 10,Medium 11
High 3,Low 8,Low 9,High 10,Low 11
Medium 3,Medium 8,Medium 9,High 10,High 11
High 3,Medium 8,Medium 9,Medium 10,Medium 11
High 3,Medium 8,Medium 9,Medium 10,Medium 11
High 3,Medium 8,Medium 9,Medium 10,Medium 11
High 3,Medium 8,High 9,Medium 10,Low 11
High 3,High 8,High 9,High 10,Medium 11
High 3,High 8,High 9,High 10,High 11
High 3,Low 8,High 9,High 10,Low 11
High 3,Medium 8,Low 9,Medium 10,Medium 11
High 3,Low 8,Low 9,Low 10,High 11
Medium 3,Low 8,Low 9,Low 10,High 11
High 3,Medium 8,High 9,High 10,High 11
High 3,Medium 8,High 9,Low 10,High 11
High 3,Low 8,Medium 9,Medium 10,High 11
High 3,Medium 8,Medium 9,Medium 10,High 11
High 3,Low 8,Medium 9,Low 10,High 11
High 3,Low 8,Medium 9,Low 10,High 11
Medium 3,Low 8,Medium 9,Low 10,High 11
High 3,Low 8,Low 9,Low 10,High 11
High 3,Medium 8,High 9,Low 10,High 11
High 3,Low 8,High 9,Low 10,High 11
High 3,High 8,High 9,Low 10,High 11
High 3,Medium 8,High 9,Low 10,High 11
High 3,Low 8,Low 9,Low 10,High 11
Medium 3,Low 8,Medium 9,Low 10,High 11
Low 3,Medium 8,Low 9,Medium 10,Low 11
Low 3,Medium 8,Medium 9,Medium 10,Low 11
Low 3,Medium 8,Medium 9,Medium 10,Low 11
Medium 3,Medium 8,Medium 9,Medium 10,Low 11
Low 3,Medium 8,Low 9,Low 10,Low 11
Low 3,Medium 8,Medium 9,Medium 10,Medium 11
Low 3,Low 8,Low 9,Low 10,Low 11
Low 3,Low 8,Low 9,Low 10,Medium 11
Low 3,Low 8,Low 9,Low 10,High 11
Medium 3,Low 8,Low 9,Low 10,Medium 11
Low 3,Low 8,Low 9,Low 10,Medium 11
Medium 3,Medium 8,Medium 9,Medium 10,Low 11
Medium 3,Medium 8,Medium 9,Medium 10,Low 11
Low 3,Medium 8,High 9,Medium 10,Medium 11
Low 3,Low 8,Low 9,Medium 10,Medium 11
Low 3,Low 8,Low 9,Medium 10,Low 11
Low 3,Low 8,Low 9,Medium 10,High 11
Low 3,High 8,Low 9,High 10,Medium 11
Low 3,High 8,Medium 9,Low 10,Low 11
Low 3,Medium 8,Medium 9,Medium 10,Medium 11
Low 3,Medium 8,Medium 9,High 10,High 11
Medium 3,Medium 8,Low 9,Medium 10,Medium 11
Low 3,Medium 8,Medium 9,High 10,Medium 11
Low 3,Low 8,Low 9,Low 10,Low 11
Low 3,Low 8,Low 9,Low 10,Low 11
Low 3,Low 8,Low 9,Low 10,Medium 11
High 3,High 8,Medium 9,Low 10,Medium 11
Low 3,Medium 8,Medium 9,Medium 10,Medium 11
Medium 3,High 8,High 9,High 10,Low 11
Medium 3,High 8,Medium 9,High 10,Medium 11
Low 3,High 8,Low 9,High 10,Low 11
Medium 3,Medium 8,Medium 9,Medium 10,Low 11
Medium 3,Medium 8,Low 9,Medium 10,High 11
Medium 3,High 8,Medium 9,Medium 10,Low 11
Medium 3,Low 8,Medium 9,Medium 10,Medium 11
Low 3,Medium 8,Low 9,Medium 10,Low 11
Low 3,High 8,Medium 9,Medium 10,Low 11
Medium 3,High 8,High 9,High 10,Medium 11
Medium 3,High 8,Medium 9,Medium 10,Medium 11
Medium 3,Medium 8,High 9,Medium 10,Medium 11
Low 3,Medium 8,Medium 9,Medium 10,Low 11
Low 3,Low 8,Low 9,Medium 10,Medium 11
Low 3,Medium 8,Low 9,Low 10,Medium 11
Medium 3,High 8,Medium 9,Medium 10,Medium 11
Low 3,Low 8,Low 9,Low 10,Medium 11
Low 3,Low 8,Low 9,Low 10,High 11
Low 3,Low 8,Low 9,Low 10,Medium 11
Low 3,Low 8,Low 9,Medium 10,Low 11
Low 3,High 8,Medium 9,High 10,Low 11
Low 3,Low 8,Low 9,Medium 10,Low 11
High 3,Low 8,Low 9,Medium 10,Low 11
High 3,Low 8,Medium 9,High 10,High 11
High 3,Low 8,Medium 9,High 10,High 11
High 3,Low 8,Medium 9,High 10,High 11
High 3,Low 8,Medium 9,High 10,High 11
High 3,Low 8,Medium 9,Medium 10,High 11
Medium 3,Low 8,Low 9,Low 10,Medium 11
High 3,Low 8,Medium 9,Medium 10,Medium 11
Medium 3,Low 8,Low 9,Low 10,High 11
High 3,Low 8,Medium 9,Medium 10,High 11
High 3,Low 8,Low 9,Low 10,High 11
High 3,Low 8,Low 9,Low 10,High 11
High 3,Low 8,Low 9,Low 10,High 11
Medium 3,Low 8,Low 9,Low 10,High 11
High 3,Low 8,Medium 9,Low 10,Medium 11
High 3,Low 8,Low 9,Low 10,High 11
Medium 3,Low 8,Low 9,Low 10,High 11
High 3,Low 8,Medium 9,Low 10,High 11
High 3,Low 8,Low 9,Low 10,High 11
Medium 3,Medium 8,High 9,Medium 10,Low 11
High 3,High 8,High 9,High 10,Medium 11
Medium 3,Medium 8,High 9,Low 10,Medium 11
Medium 3,Medium 8,High 9,High 10,Medium 11
Medium 3,High 8,High 9,Medium 10,High 11
Medium 3,Medium 8,High 9,High 10,Medium 11
Low 3,High 8,High 9,High 10,Medium 11
High 3,Medium 8,High 9,Medium 10,Low 11
High 3,High 8,High 9,High 10,Medium 11
High 3,Medium 8,High 9,Medium 10,High 11
High 3,High 8,High 9,High 10,High 11
High 3,High 8,High 9,High 10,Medium 11
High 3,High 8,High 9,High 10,High 11
Medium 3,High 8,High 9,Medium 10,Medium 11
Medium 3,High 8,High 9,Medium 10,Medium 11
High 3,High 8,High 9,High 10,Medium 11
High 3,Medium 8,High 9,High 10,Medium 11
High 3,High 8,High 9,High 10,High 11
Medium 3,Low 8,Medium 9,Low 10,Low 11
Low 3,Low 8,Low 9,Low 10,Low 11
Low 3,Medium 8,High 9,High 10,Medium 11
Medium 3,High 8,High 9,Medium 10,Medium 11
Medium 3,High 8,High 9,High 10,High 11
Medium 3,High 8,High 9,Low 10,Medium 11
Low 3,Medium 8,High 9,Medium 10,Low 11
Low 3,High 8,High 9,High 10,Low 11
Low 3,Low 8,High 9,High 10,Medium 11
Low 3,Medium 8,High 9,High 10,High 11
Low 3,Low 8,High 9,Medium 10,Low 11
Low 3,Medium 8,High 9,Medium 10,High 11
High 3,High 8,High 9,High 10,Low 11
High 3,High 8,High 9,High 10,Low 11
High 3,High 8,High 9,High 10,Low 11
High 3,High 8,High 9,Medium 10,Low 11
High 3,High 8,High 9,High 10,Medium 11
High 3,High 8,High 9,High 10,Low 11
High 3,Medium 8,High 9,Low 10,Medium 11
High 3,High 8,High 9,High 10,Medium 11
Medium 3,High 8,High 9,Medium 10,Low 11
High 3,High 8,High 9,High 10,Low 11
High 3,High 8,High 9,High 10,Low 11
High 3,High 8,High 9,High 10,Medium 11
Medium 3,High 8,High 9,Medium 10,Low 11
High 3,High 8,High 9,High 10,High 11
High 3,High 8,High 9,Medium 10,Medium 11
High 3,High 8,High 9,High 10,Low 11
High 3,High 8,High 9,Medium 10,Low 11
High 3,High 8,High 9,Medium 10,Medium 11
Medium 3,Medium 8,High 9,Medium 10,Medium 11
High 3,High 8,High 9,High 10,High 11
Medium 3,High 8,High 9,Medium 10,Low 11
Medium 3,High 8,Medium 9,Low 10,Low 11
Low 3,Low 8,Low 9,Low 10,Low 11
Low 3,Medium 8,Medium 9,Low 10,Low 11
Medium 3,High 8,Medium 9,Medium 10,Low 11
Low 3,Medium 8,Low 9,Low 10,Medium 11
Low 3,Low 8,Low 9,Low 10,Medium 11
Low 3,Low 8,Medium 9,Low 10,Low 11
Low 3,Medium 8,Low 9,Low 10,Low 11
Low 3,Low 8,Low 9,Low 10,Low 11
Low 3,Medium 8,Medium 9,Low 10,Low 11
Medium 3,Medium 8,Low 9,Low 10,Low 11
Medium 3,Medium 8,Low 9,Low 10,Low 11
Low 3,Low 8,Low 9,Low 10,Medium 11
Low 3,Low 8,Low 9,Low 10,Low 11
Low 3,Low 8,Low 9,Low 10,Low 11
Low 3,Low 8,Low 9,Low 10,Low 11
Low 3,Low 8,Low 9,Low 10,Low 11
Low 3,Low 8,Low 9,Low 10,Low 11
Low 3,Low 8,Medium 9,Low 10,Low 11
Medium 3,Medium 8,High 9,Low 10,Low 11
Low 3,High 8,High 9,Low 10,Medium 11
Low 3,Medium 8,Medium 9,Low 10,Low 11
Low 3,Medium 8,High 9,Low 10,Low 11
Low 3,Medium 8,Medium 9,Low 10,Low 11
Low 3,Medium 8,Medium 9,Low 10,Low 11
Low 3,Low 8,Low 9,Low 10,Low 11
Low 3,Medium 8,Low 9,Low 10,Low 11
Medium 3,Medium 8,Medium 9,Low 10,Low 11
Low 3,High 8,Medium 9,Medium 10,Low 11
Low 3,High 8,High 9,Medium 10,Low 11
Low 3,Low 8,Low 9,Low 10,Low 11
Low 3,Medium 8,Medium 9,Low 10,Low 11
High 3,High 8,High 9,High 10,High 11
High 3,High 8,High 9,High 10,High 11
High 3,High 8,High 9,High 10,High 11
High 3,High 8,High 9,High 10,High 11
Low 3,Medium 8,High 9,High 10,Medium 11
Low 3,High 8,High 9,High 10,Low 11
Medium 3,High 8,High 9,High 10,Low 11
Low 3,High 8,High 9,High 10,High 11
High 3,High 8,High 9,High 10,High 11
High 3,High 8,Medium 9,High 10,Medium 11
Low 3,Medium 8,Low 9,High 10,Medium 11
Low 3,Medium 8,Medium 9,High 10,Medium 11
Medium 3,High 8,High 9,High 10,Medium 11
Low 3,High 8,Medium 9,High 10,High 11
High 3,High 8,High 9,Medium 10,High 11
High 3,High 8,High 9,Medium 10,High 11
High 3,Low 8,Medium 9,Medium 10,High 11
High 3,Medium 8,High 9,High 10,High 11
Medium 3,Medium 8,High 9,High 10,High 11
Medium 3,Medium 8,High 9,Medium 10,High 11
High 3,Medium 8,High 9,Medium 10,High 11
High 3,Medium 8,Medium 9,Medium 10,High 11
Medium 3,High 8,High 9,Medium 10,High 11
High 3,High 8,High 9,High 10,High 11
Medium 3,High 8,High 9,Medium 10,High 11
High 3,High 8,High 9,High 10,High 11
High 3,High 8,Low 9,High 10,High 11
High 3,Medium 8,Medium 9,Medium 10,High 11
Medium 3,Medium 8,Medium 9,High 10,High 11
High 3,Medium 8,Medium 9,Medium 10,High 11
High 3,Low 8,Low 9,Medium 10,High 11
High 3,High 8,Medium 9,High 10,High 11
High 3,High 8,High 9,High 10,High 11
High 3,Low 8,Low 9,Medium 10,High 11
High 3,High 8,Medium 9,Medium 10,High 11
High 3,Low 8,Low 9,Medium 10,High 11
High 3,Medium 8,Low 9,High 10,High 11
Medium 3,Medium 8,Low 9,High 10,High 11
High 3,Medium 8,Low 9,Medium 10,High 11
High 3,Medium 8,Low 9,Medium 10,High 11
High 3,High 8,Low 9,Medium 10,High 11
High 3,Medium 8,Low 9,Medium 10,High 11
Medium 3,Medium 8,Medium 9,High 10,High 11
Medium 3,High 8,High 9,Medium 10,High 11
High 3,High 8,High 9,Medium 10,High 11
High 3,High 8,High 9,High 10,High 11
High 3,Low 8,Medium 9,High 10,Medium 11
High 3,Low 8,Low 9,Medium 10,Medium 11
Medium 3,Low 8,Low 9,Medium 10,Medium 11
High 3,Low 8,Low 9,Low 10,Low 11
Medium 3,Medium 8,Medium 9,Low 10,Medium 11
Medium 3,Low 8,Medium 9,Low 10,Medium 11
Medium 3,High 8,High 9,Low 10,Low 11
Low 3,Low 8,Medium 9,Low 10,Medium 11
Low 3,Medium 8,Medium 9,Low 10,Medium 11
Low 3,Medium 8,Medium 9,Low 10,Low 11
Medium 3,Low 8,Medium 9,Low 10,Medium 11
Medium 3,Medium 8,High 9,Low 10,Low 11
Medium 3,Medium 8,Medium 9,Low 10,Low 11
Medium 3,Low 8,Medium 9,Low 10,Medium 11
Low 3,Medium 8,Medium 9,Low 10,Medium 11
Low 3,Medium 8,Medium 9,Low 10,Low 11
Medium 3,Low 8,Medium 9,Low 10,High 11
Low 3,Low 8,Low 9,Low 10,Medium 11
Medium 3,Medium 8,Medium 9,Low 10,Low 11
Medium 3,Low 8,Medium 9,Low 10,Low 11
Medium 3,Low 8,Low 9,Low 10,Low 11
Low 3,Low 8,Medium 9,Low 10,Low 11
Low 3,Low 8,Low 9,Low 10,Low 11
Low 3,Medium 8,High 9,Low 10,Low 11
Low 3,Low 8,Medium 9,Low 10,Medium 11
Low 3,Low 8,Medium 9,Low 10,Medium 11
Low 3,Low 8,Low 9,Low 10,Low 11
Low 3,Low 8,Low 9,Medium 10,Low 11
Low 3,Low 8,Low 9,Low 10,Low 11
High 3,Medium 8,Medium 9,Low 10,Low 11
Medium 3,Low 8,Medium 9,Low 10,Low 11
Medium 3,Low 8,Low 9,Low 10,Medium 11
Low 3,Low 8,Low 9,Low 10,Low 11
Medium 3,Low 8,Medium 9,Low 10,Low 11
Medium 3,Low 8,Low 9,Low 10,Low 11
Medium 3,Low 8,Low 9,Low 10,Low 11
