X12..Women.who.are.literate....,X39..Children.who.received.postnatal.care.from.a.doctor.nurse.LHV.ANM.midwife.other.health.personnel.within.2.days.of.delivery....,X48..Children.age.12.23.months.who.have.received.BCG....,X49..Children.age.12.23.months.who.have.received.3.doses.of.polio.vaccine....,X50..Children.age.12.23.months.who.have.received.3.doses.of.DPT.vaccine....
High 3,High 4,High 5,High 6,High 7
High 3,Low 4,High 5,High 6,High 7
Low 3,Medium 4,Medium 5,Low 6,Low 7
Low 3,Low 4,Low 5,Low 6,Low 7
Low 3,Medium 4,Low 5,Low 6,Low 7
High 3,Low 4,High 5,Low 6,High 7
Medium 3,Low 4,Medium 5,Medium 6,Low 7
Medium 3,High 4,Medium 5,Medium 6,Medium 7
High 3,Medium 4,Low 5,Low 6,Medium 7
Medium 3,Low 4,Low 5,Low 6,Low 7
High 3,Low 4,Medium 5,Low 6,Medium 7
Medium 3,Low 4,High 5,Medium 6,High 7
High 3,Low 4,Medium 5,Medium 6,High 7
High 3,Medium 4,Medium 5,Low 6,Medium 7
High 3,Low 4,Medium 5,Medium 6,Medium 7
Medium 3,Medium 4,Low 5,Low 6,Low 7
High 3,Medium 4,High 5,Medium 6,Medium 7
Medium 3,Low 4,Low 5,Low 6,Low 7
Medium 3,Low 4,Low 5,Low 6,Low 7
Low 3,Low 4,Low 5,Low 6,Low 7
Medium 3,Low 4,Medium 5,Medium 6,Low 7
Medium 3,Medium 4,Medium 5,High 6,Medium 7
Medium 3,Medium 4,High 5,Medium 6,High 7
Low 3,Low 4,Low 5,Low 6,Low 7
High 3,Medium 4,High 5,High 6,High 7
High 3,Low 4,Low 5,Low 6,Medium 7
High 3,Low 4,Low 5,Low 6,Low 7
Medium 3,Medium 4,High 5,High 6,Medium 7
Medium 3,Medium 4,Medium 5,Medium 6,Medium 7
High 3,High 4,Medium 5,High 6,Medium 7
High 3,High 4,Medium 5,Low 6,Medium 7
High 3,Medium 4,Medium 5,High 6,Medium 7
High 3,Medium 4,High 5,High 6,High 7
High 3,High 4,Low 5,Low 6,Medium 7
High 3,High 4,Medium 5,High 6,Medium 7
High 3,High 4,Medium 5,High 6,High 7
High 3,Medium 4,Low 5,Medium 6,High 7
High 3,High 4,High 5,High 6,High 7
High 3,High 4,High 5,High 6,High 7
High 3,High 4,High 5,High 6,High 7
High 3,Low 4,High 5,High 6,High 7
High 3,High 4,High 5,High 6,High 7
High 3,High 4,High 5,High 6,High 7
Medium 3,Medium 4,High 5,High 6,High 7
High 3,Medium 4,High 5,High 6,High 7
High 3,Medium 4,High 5,High 6,High 7
High 3,Medium 4,Medium 5,Medium 6,Medium 7
High 3,Medium 4,High 5,High 6,High 7
Medium 3,High 4,High 5,High 6,High 7
Medium 3,Medium 4,High 5,Medium 6,High 7
Medium 3,High 4,High 5,High 6,High 7
High 3,Medium 4,Medium 5,High 6,High 7
High 3,High 4,High 5,Medium 6,Medium 7
High 3,Medium 4,High 5,Medium 6,Medium 7
High 3,High 4,High 5,High 6,High 7
High 3,Medium 4,Medium 5,Low 6,Low 7
Medium 3,Low 4,High 5,Low 6,Low 7
Low 3,Low 4,Low 5,Low 6,Low 7
Medium 3,Low 4,Low 5,Low 6,Low 7
Low 3,Low 4,Low 5,Low 6,Low 7
Low 3,Medium 4,Low 5,Low 6,Medium 7
Low 3,Low 4,Low 5,Low 6,Low 7
Low 3,Medium 4,Medium 5,High 6,High 7
Low 3,High 4,High 5,Low 6,Low 7
Low 3,Medium 4,Medium 5,Medium 6,High 7
Low 3,Medium 4,Medium 5,Medium 6,High 7
Low 3,Medium 4,Medium 5,Medium 6,Medium 7
Low 3,High 4,High 5,Medium 6,High 7
Medium 3,Medium 4,High 5,High 6,High 7
Medium 3,Medium 4,High 5,Medium 6,Medium 7
Low 3,Low 4,Medium 5,Medium 6,Medium 7
Medium 3,Low 4,High 5,High 6,High 7
Low 3,Low 4,Medium 5,Medium 6,Medium 7
Low 3,Low 4,Low 5,Low 6,Low 7
Medium 3,High 4,High 5,Medium 6,High 7
Medium 3,High 4,High 5,Medium 6,Medium 7
Low 3,Medium 4,High 5,High 6,High 7
Low 3,Medium 4,Medium 5,Medium 6,Medium 7
Medium 3,Medium 4,High 5,Medium 6,High 7
Low 3,Medium 4,Medium 5,High 6,High 7
Medium 3,Medium 4,Medium 5,Medium 6,Medium 7
Low 3,Low 4,Medium 5,Medium 6,Medium 7
Low 3,Low 4,Medium 5,Low 6,Low 7
Low 3,Low 4,High 5,Medium 6,High 7
Medium 3,Low 4,High 5,High 6,High 7
Low 3,High 4,Medium 5,High 6,High 7
Medium 3,Medium 4,High 5,High 6,High 7
Medium 3,Medium 4,High 5,High 6,High 7
Medium 3,Low 4,High 5,High 6,High 7
Medium 3,Low 4,Low 5,Low 6,Low 7
High 3,High 4,Medium 5,High 6,High 7
Medium 3,Low 4,High 5,High 6,High 7
Low 3,Medium 4,High 5,High 6,Medium 7
Medium 3,High 4,Medium 5,High 6,High 7
Low 3,Medium 4,Medium 5,High 6,High 7
Medium 3,Low 4,High 5,High 6,High 7
Medium 3,Low 4,High 5,Medium 6,Medium 7
Medium 3,Low 4,High 5,High 6,High 7
Low 3,Low 4,High 5,High 6,High 7
Low 3,Low 4,Low 5,Low 6,Low 7
Low 3,Low 4,Low 5,Medium 6,Medium 7
Low 3,Medium 4,Medium 5,High 6,High 7
Medium 3,High 4,High 5,High 6,High 7
Medium 3,Low 4,Medium 5,High 6,Medium 7
High 3,High 4,High 5,High 6,High 7
High 3,Medium 4,Low 5,Medium 6,Medium 7
Medium 3,High 4,High 5,High 6,Medium 7
Low 3,Medium 4,High 5,High 6,High 7
Medium 3,Medium 4,Medium 5,Medium 6,Medium 7
Low 3,Low 4,Medium 5,Medium 6,Medium 7
Low 3,High 4,High 5,High 6,High 7
Medium 3,High 4,Medium 5,High 6,Medium 7
Medium 3,Low 4,High 5,Medium 6,Medium 7
High 3,High 4,High 5,High 6,High 7
Medium 3,Medium 4,High 5,Medium 6,Medium 7
Low 3,Medium 4,High 5,Medium 6,Medium 7
Medium 3,High 4,Medium 5,Medium 6,Medium 7
Medium 3,Medium 4,High 5,High 6,High 7
High 3,Medium 4,Medium 5,High 6,Medium 7
High 3,Medium 4,High 5,Medium 6,Medium 7
Medium 3,High 4,High 5,Low 6,Low 7
Medium 3,Medium 4,Medium 5,Medium 6,Medium 7
High 3,Low 4,Low 5,Medium 6,Low 7
Medium 3,Medium 4,High 5,Low 6,Medium 7
Medium 3,Medium 4,High 5,High 6,Medium 7
High 3,Medium 4,Medium 5,High 6,Medium 7
High 3,Medium 4,Medium 5,High 6,High 7
Medium 3,Medium 4,Low 5,Medium 6,Low 7
Low 3,High 4,High 5,High 6,Low 7
Low 3,Low 4,High 5,Low 6,Medium 7
Low 3,Medium 4,Medium 5,Medium 6,Medium 7
Medium 3,High 4,High 5,High 6,High 7
Medium 3,Low 4,Medium 5,High 6,Medium 7
Medium 3,Medium 4,High 5,Medium 6,Medium 7
Medium 3,High 4,High 5,Medium 6,Low 7
High 3,High 4,High 5,High 6,High 7
High 3,High 4,High 5,High 6,High 7
High 3,High 4,High 5,Medium 6,Medium 7
High 3,High 4,High 5,High 6,High 7
High 3,High 4,Medium 5,Medium 6,Medium 7
High 3,High 4,High 5,High 6,High 7
High 3,High 4,High 5,High 6,High 7
High 3,High 4,High 5,High 6,High 7
High 3,Medium 4,High 5,High 6,High 7
High 3,High 4,Medium 5,High 6,High 7
High 3,High 4,High 5,High 6,High 7
High 3,High 4,High 5,High 6,High 7
Low 3,Medium 4,Low 5,Low 6,Low 7
Low 3,High 4,Medium 5,Low 6,Low 7
Medium 3,Medium 4,Low 5,Low 6,Low 7
High 3,High 4,Medium 5,Medium 6,Medium 7
High 3,High 4,Low 5,Medium 6,Low 7
High 3,High 4,Medium 5,High 6,High 7
High 3,High 4,Medium 5,Medium 6,Medium 7
High 3,Medium 4,Medium 5,High 6,Medium 7
High 3,High 4,Medium 5,High 6,High 7
High 3,High 4,High 5,High 6,High 7
High 3,High 4,Medium 5,High 6,High 7
Medium 3,High 4,High 5,High 6,High 7
High 3,Medium 4,High 5,Medium 6,High 7
High 3,High 4,Medium 5,Medium 6,High 7
Medium 3,High 4,Low 5,Low 6,Low 7
Medium 3,Medium 4,Medium 5,High 6,Medium 7
Medium 3,High 4,High 5,Low 6,Medium 7
Medium 3,Medium 4,Medium 5,High 6,Medium 7
High 3,High 4,Medium 5,Low 6,Medium 7
High 3,Medium 4,Low 5,Low 6,Low 7
High 3,High 4,Low 5,Low 6,Low 7
High 3,High 4,Low 5,Low 6,Low 7
High 3,Medium 4,High 5,High 6,High 7
High 3,High 4,Medium 5,Low 6,Low 7
Medium 3,High 4,Low 5,Low 6,Medium 7
High 3,Medium 4,Medium 5,Medium 6,Medium 7
High 3,Low 4,Low 5,Medium 6,Medium 7
High 3,High 4,Medium 5,Medium 6,Medium 7
High 3,Medium 4,Low 5,High 6,Low 7
High 3,Medium 4,Medium 5,High 6,Medium 7
High 3,High 4,Medium 5,High 6,Medium 7
High 3,Medium 4,Low 5,Medium 6,Low 7
High 3,Medium 4,Low 5,Low 6,Low 7
High 3,Low 4,Low 5,Low 6,Low 7
Medium 3,Low 4,Low 5,Low 6,Low 7
High 3,Low 4,Medium 5,High 6,High 7
High 3,Low 4,Medium 5,Medium 6,Medium 7
High 3,Low 4,Low 5,Low 6,Low 7
High 3,Low 4,Medium 5,Medium 6,Medium 7
High 3,Low 4,Medium 5,Medium 6,Medium 7
High 3,Low 4,Low 5,Medium 6,Low 7
Medium 3,Low 4,Low 5,Low 6,Low 7
High 3,Low 4,Low 5,Low 6,Low 7
High 3,Low 4,Medium 5,High 6,High 7
High 3,Low 4,Low 5,Medium 6,Medium 7
High 3,Low 4,High 5,High 6,High 7
High 3,Low 4,Medium 5,High 6,Medium 7
High 3,Low 4,Low 5,Low 6,Low 7
Medium 3,Low 4,Low 5,Low 6,Low 7
Low 3,Low 4,Medium 5,Low 6,Low 7
Low 3,Medium 4,Medium 5,Medium 6,Low 7
Low 3,Low 4,Medium 5,Low 6,Medium 7
Medium 3,Medium 4,High 5,Low 6,Medium 7
Low 3,Low 4,Medium 5,Low 6,Low 7
Low 3,Medium 4,Medium 5,Medium 6,Medium 7
Low 3,Low 4,Low 5,Low 6,Low 7
Low 3,Low 4,Low 5,Low 6,Low 7
Low 3,Medium 4,Low 5,Low 6,Low 7
Medium 3,Medium 4,Low 5,Low 6,Low 7
Low 3,Low 4,Low 5,Medium 6,Low 7
Medium 3,Medium 4,Medium 5,Low 6,Medium 7
Medium 3,Low 4,Medium 5,Medium 6,Low 7
Low 3,High 4,Medium 5,Medium 6,Medium 7
Low 3,High 4,Low 5,Low 6,Low 7
Low 3,Medium 4,Low 5,Low 6,Low 7
Low 3,Medium 4,Medium 5,Low 6,Low 7
Low 3,Medium 4,Medium 5,Low 6,Low 7
Low 3,Low 4,High 5,Medium 6,High 7
Low 3,Medium 4,Medium 5,Medium 6,Medium 7
Low 3,Medium 4,Medium 5,Medium 6,High 7
Medium 3,Low 4,High 5,Low 6,Low 7
Low 3,Low 4,Medium 5,Medium 6,Low 7
Low 3,Medium 4,Low 5,Low 6,Low 7
Low 3,Low 4,Medium 5,Low 6,Low 7
Low 3,Low 4,Low 5,Low 6,Low 7
High 3,Low 4,Medium 5,Low 6,Medium 7
Low 3,Medium 4,High 5,Medium 6,Medium 7
Medium 3,Medium 4,Medium 5,High 6,High 7
Medium 3,High 4,High 5,Medium 6,High 7
Low 3,Medium 4,Medium 5,Low 6,Low 7
Medium 3,Medium 4,High 5,Low 6,Low 7
Medium 3,Low 4,High 5,Low 6,Medium 7
Medium 3,Medium 4,High 5,Medium 6,High 7
Medium 3,Medium 4,Medium 5,Medium 6,Medium 7
Low 3,Low 4,High 5,Low 6,Low 7
Low 3,Medium 4,High 5,Medium 6,Medium 7
Medium 3,Medium 4,Medium 5,Medium 6,High 7
Medium 3,Medium 4,High 5,Low 6,High 7
Medium 3,Medium 4,Medium 5,Medium 6,High 7
Low 3,Medium 4,Medium 5,Medium 6,Low 7
Low 3,Medium 4,Low 5,Low 6,Low 7
Low 3,Low 4,Low 5,Low 6,Medium 7
Medium 3,Medium 4,Medium 5,Low 6,Medium 7
Low 3,Low 4,Low 5,Low 6,Low 7
Low 3,Low 4,Low 5,Low 6,Low 7
Low 3,Medium 4,Low 5,Low 6,Low 7
Low 3,Medium 4,Low 5,Low 6,Low 7
Low 3,Medium 4,High 5,Medium 6,Medium 7
Low 3,Low 4,Low 5,Low 6,Low 7
High 3,Low 4,Low 5,Low 6,Low 7
High 3,Low 4,Low 5,Low 6,Low 7
High 3,Low 4,Low 5,Low 6,Low 7
High 3,Low 4,Low 5,Low 6,Low 7
High 3,Low 4,Low 5,Medium 6,Low 7
High 3,Low 4,Low 5,Low 6,Low 7
Medium 3,Low 4,Low 5,Low 6,Low 7
High 3,Low 4,Low 5,Low 6,Low 7
Medium 3,Low 4,Low 5,Low 6,Low 7
High 3,Low 4,Low 5,Low 6,Medium 7
High 3,Low 4,Low 5,Low 6,Low 7
High 3,Low 4,Low 5,Low 6,Low 7
High 3,Low 4,Low 5,Low 6,Low 7
Medium 3,Low 4,Low 5,Low 6,Low 7
High 3,Low 4,Low 5,Low 6,Low 7
High 3,Low 4,Low 5,Low 6,Low 7
Medium 3,Low 4,Low 5,Low 6,Low 7
High 3,Low 4,Medium 5,Low 6,Medium 7
High 3,Low 4,Low 5,Low 6,Low 7
Medium 3,High 4,Medium 5,High 6,High 7
High 3,High 4,Medium 5,High 6,High 7
Medium 3,Medium 4,Medium 5,Medium 6,Medium 7
Medium 3,Medium 4,Medium 5,Medium 6,High 7
Medium 3,High 4,High 5,High 6,High 7
Medium 3,High 4,Low 5,High 6,Medium 7
Low 3,High 4,Low 5,Medium 6,Medium 7
High 3,High 4,Medium 5,High 6,High 7
High 3,Medium 4,Medium 5,High 6,High 7
High 3,High 4,Low 5,High 6,Medium 7
High 3,High 4,Medium 5,High 6,High 7
High 3,Low 4,Medium 5,High 6,High 7
High 3,High 4,High 5,High 6,High 7
Medium 3,High 4,High 5,High 6,High 7
Medium 3,High 4,High 5,High 6,High 7
High 3,High 4,Medium 5,High 6,High 7
High 3,Low 4,Low 5,Medium 6,Medium 7
High 3,High 4,High 5,High 6,High 7
Medium 3,Medium 4,Low 5,Low 6,Medium 7
Low 3,Medium 4,Low 5,Low 6,Low 7
Low 3,High 4,Medium 5,High 6,High 7
Medium 3,High 4,High 5,High 6,High 7
Medium 3,High 4,High 5,High 6,High 7
Medium 3,High 4,High 5,High 6,High 7
Low 3,High 4,Medium 5,High 6,High 7
Low 3,Low 4,High 5,High 6,High 7
Low 3,High 4,Medium 5,High 6,High 7
Low 3,High 4,Medium 5,Medium 6,High 7
Low 3,Medium 4,Low 5,Medium 6,Medium 7
Low 3,High 4,High 5,High 6,High 7
High 3,High 4,High 5,High 6,High 7
High 3,High 4,High 5,High 6,High 7
High 3,High 4,High 5,High 6,High 7
High 3,High 4,High 5,High 6,High 7
High 3,High 4,High 5,High 6,High 7
High 3,High 4,Medium 5,High 6,High 7
High 3,High 4,Medium 5,High 6,High 7
High 3,High 4,High 5,High 6,High 7
Medium 3,High 4,Medium 5,High 6,High 7
High 3,High 4,High 5,High 6,High 7
High 3,High 4,High 5,High 6,High 7
High 3,High 4,Medium 5,High 6,High 7
Medium 3,High 4,High 5,High 6,High 7
High 3,High 4,High 5,High 6,High 7
High 3,High 4,High 5,High 6,High 7
High 3,High 4,High 5,High 6,High 7
High 3,High 4,High 5,High 6,High 7
High 3,High 4,High 5,High 6,High 7
Medium 3,High 4,High 5,High 6,Medium 7
High 3,High 4,High 5,High 6,High 7
Medium 3,High 4,High 5,High 6,High 7
Medium 3,Medium 4,Medium 5,Medium 6,Medium 7
Low 3,Medium 4,Low 5,Low 6,Low 7
Low 3,Low 4,Medium 5,Low 6,Medium 7
Medium 3,Medium 4,Medium 5,Medium 6,Medium 7
Low 3,Low 4,Low 5,Low 6,Low 7
Low 3,Low 4,Low 5,Low 6,Low 7
Low 3,Medium 4,Low 5,Medium 6,Low 7
Low 3,Medium 4,Medium 5,Low 6,Low 7
Low 3,Medium 4,Low 5,Low 6,Low 7
Low 3,Low 4,Medium 5,Low 6,Medium 7
Medium 3,Medium 4,High 5,Low 6,Medium 7
Medium 3,Medium 4,Low 5,Low 6,Low 7
Low 3,Medium 4,Low 5,Low 6,Low 7
Low 3,Medium 4,Low 5,Low 6,Low 7
Low 3,Low 4,Low 5,Low 6,Low 7
Low 3,Medium 4,Low 5,Low 6,Low 7
Low 3,High 4,Low 5,Low 6,Low 7
Low 3,Medium 4,Low 5,Low 6,Low 7
Low 3,Low 4,Medium 5,Medium 6,Low 7
Medium 3,Medium 4,Medium 5,Medium 6,Medium 7
Low 3,Medium 4,High 5,High 6,High 7
Low 3,Medium 4,Medium 5,Low 6,Medium 7
Low 3,Medium 4,Medium 5,Medium 6,High 7
Low 3,High 4,High 5,Medium 6,Medium 7
Low 3,High 4,Medium 5,Medium 6,Medium 7
Low 3,High 4,Low 5,Low 6,Low 7
Low 3,Low 4,Medium 5,Low 6,Low 7
Medium 3,High 4,High 5,Medium 6,Medium 7
Low 3,High 4,High 5,Medium 6,Medium 7
Low 3,Medium 4,Medium 5,Medium 6,Medium 7
Low 3,Medium 4,Low 5,Low 6,Low 7
Low 3,Medium 4,High 5,Medium 6,Medium 7
High 3,Medium 4,High 5,High 6,High 7
High 3,Low 4,High 5,High 6,High 7
High 3,Medium 4,High 5,High 6,High 7
High 3,Low 4,High 5,High 6,High 7
Low 3,High 4,Low 5,High 6,Medium 7
Low 3,Medium 4,High 5,Medium 6,High 7
Medium 3,High 4,High 5,High 6,High 7
Low 3,High 4,High 5,High 6,High 7
High 3,Low 4,High 5,Medium 6,High 7
High 3,Low 4,Medium 5,Medium 6,High 7
Low 3,Medium 4,High 5,Low 6,Medium 7
Low 3,High 4,Medium 5,Medium 6,Medium 7
Medium 3,Medium 4,High 5,Low 6,Medium 7
Low 3,Medium 4,High 5,Medium 6,Medium 7
High 3,High 4,High 5,High 6,Medium 7
High 3,High 4,High 5,High 6,High 7
High 3,High 4,Medium 5,Medium 6,Medium 7
High 3,High 4,Medium 5,High 6,High 7
Medium 3,High 4,Medium 5,High 6,Medium 7
Medium 3,Medium 4,Medium 5,High 6,High 7
High 3,Medium 4,High 5,High 6,Medium 7
High 3,High 4,High 5,Medium 6,Medium 7
Medium 3,High 4,High 5,High 6,High 7
High 3,High 4,High 5,High 6,High 7
Medium 3,High 4,High 5,High 6,High 7
High 3,High 4,High 5,High 6,High 7
High 3,High 4,Low 5,High 6,Medium 7
High 3,Medium 4,Medium 5,Medium 6,Medium 7
Medium 3,High 4,Medium 5,Medium 6,Medium 7
High 3,High 4,Medium 5,High 6,Medium 7
High 3,High 4,Low 5,Low 6,Low 7
High 3,High 4,High 5,High 6,Medium 7
High 3,High 4,Medium 5,High 6,High 7
High 3,Medium 4,Low 5,Medium 6,Low 7
High 3,High 4,High 5,Medium 6,Medium 7
High 3,High 4,Medium 5,Medium 6,Medium 7
High 3,High 4,Medium 5,Medium 6,Medium 7
Medium 3,High 4,Low 5,Medium 6,Low 7
High 3,Medium 4,Low 5,Low 6,Medium 7
High 3,High 4,Low 5,Low 6,Low 7
High 3,Medium 4,Medium 5,Medium 6,Low 7
High 3,Medium 4,High 5,High 6,Low 7
Medium 3,High 4,Low 5,Medium 6,Medium 7
Medium 3,High 4,Medium 5,High 6,Medium 7
High 3,High 4,High 5,High 6,High 7
High 3,High 4,High 5,High 6,High 7
High 3,Low 4,Low 5,Medium 6,Low 7
High 3,Low 4,Low 5,Medium 6,Low 7
Medium 3,Low 4,Low 5,Low 6,Low 7
High 3,Low 4,Low 5,Low 6,Low 7
Medium 3,High 4,Medium 5,Medium 6,Medium 7
Medium 3,High 4,Low 5,High 6,Low 7
Medium 3,High 4,Medium 5,High 6,Medium 7
Low 3,High 4,Low 5,Low 6,Low 7
Low 3,High 4,High 5,High 6,Medium 7
Low 3,High 4,Medium 5,Medium 6,Medium 7
Medium 3,High 4,Low 5,High 6,Low 7
Medium 3,High 4,Medium 5,High 6,Medium 7
Medium 3,High 4,Low 5,Medium 6,Medium 7
Medium 3,High 4,Medium 5,High 6,Medium 7
Low 3,Medium 4,Medium 5,Medium 6,Medium 7
Low 3,High 4,Medium 5,High 6,Medium 7
Medium 3,High 4,Low 5,Medium 6,Low 7
Low 3,Medium 4,Low 5,Medium 6,Low 7
Medium 3,High 4,Medium 5,Medium 6,Medium 7
Medium 3,Medium 4,Medium 5,Medium 6,Low 7
Medium 3,Low 4,Low 5,Medium 6,Low 7
Low 3,High 4,Low 5,Medium 6,Low 7
Low 3,High 4,Low 5,Medium 6,Low 7
Low 3,High 4,High 5,High 6,Medium 7
Low 3,High 4,Low 5,Medium 6,Medium 7
Low 3,Low 4,Low 5,Medium 6,Low 7
Low 3,Medium 4,Low 5,Medium 6,Low 7
Low 3,Low 4,Low 5,Low 6,Low 7
Low 3,Medium 4,Low 5,High 6,Low 7
High 3,Medium 4,Medium 5,Low 6,Low 7
Medium 3,Medium 4,Medium 5,Medium 6,Medium 7
Medium 3,Medium 4,Low 5,Low 6,Low 7
Low 3,Low 4,Low 5,Low 6,Low 7
Medium 3,High 4,Low 5,Low 6,Low 7
Medium 3,Low 4,Low 5,Low 6,Low 7
